Rank,Name,Elevation,Prominence,Latitude,Longitude,State
1,MT WASHINGTON,6288,6153,44.27055556,-71.30388889,NH
2,MT KATAHDIN (BAXTER PK),5268,4293,45.90416667,-68.92194444,ME
3,MT MANSFIELD (CHIN),4393,3643,44.54361111,-72.81472222,VT
4,MT LAFAYETTE,5260,3360,44.16055556,-71.645,NH
5,KILLINGTON PEAK,4235,3325,43.60444444,-72.82055556,VT
6,SUGARLOAF MTN,4250,3180,45.03166667,-70.31361111,ME
7,EQUINOX MTN,3850,3060,43.16583333,-73.11805556,VT
8,JAY PK,3858,2970,44.92444444,-72.52638889,VT
9,MT MOOSILAUKE,4820,2960,44.02333333,-71.83194444,NH
10,BIGELOW MTN (W PK),4145,2855,45.14666667,-70.28861111,ME
11,DORSET PK,3770,2840,43.30916667,-73.02861111,VT
12,CARTER DOME,4832,2815,44.26722222,-71.17972222,NH
13,OLD SPECK MTN,4170,2720,44.57083333,-70.95416667,ME
14,MT CABOT,4170,2665,44.50583333,-71.41472222,NH
15,WHITE CAP MTN,3654,2624,45.55444444,-69.24722222,ME
16,COBURN MTN,3730,2520,45.46861111,-70.12694444,ME
17,MT GREYLOCK,3488,2474,42.6374,-73.1662,MA
18,MT PUTNAM (WORCESTER),3642,2472,44.41833333,-72.63888889,VT
19,SADDLEBACK MTN,4120,2446,44.93638889,-70.505,ME
20,KINSMAN MTN (S PK),4358,2418,44.12277778,-71.73694444,NH
21,STRATTON MTN,3940,2415,43.08611111,-72.92555556,VT
22,MT SHAW,2990,2340,43.74394,-71.274112,NH
23,TRAVELER MTN (THE TRAVELER),3551,2331,46.07277778,-68.845,ME
24,SNOW MTN,3960,2330,45.29138889,-70.70972222,ME
25,MT SHAW,2990,2320,43.74394,-71.274112,NH
26,MT ASCUTNEY,3140,2289,43.44361111,-72.455,VT
27,KIBBY MTN,3654,2264,45.41861111,-70.54472222,ME
28,MT CARRIGAIN,4700,2240,44.09361111,-71.4475,NH
29,BALDPATE MTN (E PK),3790,2240,44.60916667,-70.89277778,ME
30,EAST MTN,3439,2229,44.66472222,-71.77055556,VT
31,GRASS MTN,3109,2199,43.05277778,-73.22416667,VT
32,BAKER MTN,3521,2191,45.57111111,-69.39444444,ME
33,SMARTS MTN,3238,2188,43.82555556,-72.03916667,NH
34,COLD HOLLOW MTNS,3337,2165,44.7875,-72.68944444,VT
35,MONADNOCK MTN,3159,2155,42.86083333,-72.10888889,NH
36,SIGNAL MTN,3370,2140,44.20611111,-72.32555556,VT
37,CAMELS HUMP,4090,2140,44.31944444,-72.88666667,VT
38,BIG SQUAW MTN,3194,2124,45.48388889,-69.71194444,ME
39,MT KEARSARGE,2937,2100,43.383245,-71.857142,NH
40,DOUBLETOP MTN,3489,2079,45.93583333,-69.06166667,ME
41,ELEPHANT MTN,3772,2062,44.76805556,-70.78222222,ME
42,MT OSCEOLA,4340,2040,44.00166667,-71.53638889,NH
43,BOUNDARY BALD MTN,3630,2002,45.76666667,-70.20416667,ME
44,GORE MTN,3332,1971,44.91972222,-71.79416667,VT
45,MT CARDIGAN,3155,1925,43.64916667,-71.91472222,NH
46,BIG SPENCER MTN,3210,1920,45.77555556,-69.44361111,ME
47,MT ELLEN,4083,1873,44.15972222,-72.92916667,VT
48,BELKNAP MTN,2382,1852,43.518001,-71.369388,NH
49,BELKNAP MTN,2382,1850,43.518001,-71.369388,NH
50,SADDLEBACK MTN,2998,1848,45.509482,-69.135994,ME
51,MT BLUE,3190,1840,44.72805556,-70.3425,ME
