Rank,Name,Elevation,Latitude,Longitude,State,Prominence
1,MT WASHINGTON,6288,44.27055556,-71.30388889,NH,6153
2,MT MARCY,5344,44.1125,-73.92416667,NY,4919
3,MT KATAHDIN (BAXTER PK),5268,45.90416667,-68.92194444,ME,4293
4,MT MANSFIELD (CHIN),4393,44.54361111,-72.81472222,VT,3643
5,MT LAFAYETTE,5260,44.16055556,-71.645,NH,3360
6,KILLINGTON PEAK,4235,43.60444444,-72.82055556,VT,3325
7,SLIDE MTN,4190,41.99916667,-74.38611111,NY,3295
8,SUGARLOAF MTN,4250,45.03166667,-70.31361111,ME,3180
9,WHITEFACE MTN,4865,44.36555556,-73.90361111,NY,3110
10,EQUINOX MTN,3850,43.16583333,-73.11805556,VT,3060
11,JAY PK,3858,44.92444444,-72.52638889,VT,2970
12,GIANT MTN,4626,44.16111111,-73.72055556,NY,2969
13,MT MOOSILAUKE,4802,44.02333333,-71.83194444,NH,2960
14,BIGELOW MTN WEST PK,4145,45.14666667,-70.28861111,ME,2855
15,DORSET PK,3770,43.30916667,-73.02861111,VT,2840
16,DIX MTN,4839,44.08222222,-73.78666667,NY,2822
17,CARTER DOME,4832,44.26722222,-71.17972222,NH,2821
18,OLD SPECK MTN,4170,44.57083333,-70.95416667,ME,2720
19,MT CABOT,4170,44.50583333,-71.41472222,NH,2665
20,WHITE CAP MTN,3654,45.55444444,-69.24722222,ME,2624
21,COBURN MTN,3730,45.46861111,-70.12694444,ME,2520
22,MT GREYLOCK,3488,42.6374,-73.1662,MA,2474
23,MT PUTNAM (WORCESTER),3642,44.41833333,-72.63888889,VT,2472
24,SADDLEBACK MTN,4120,44.93638889,-70.505,ME,2446
25,SANTANONI PK,4606,44.08222222,-74.13138889,NY,2425
26,KINSMAN MTN (S PK),4358,44.12277778,-71.73694444,NH,2418
27,STRATTON MTN,3940,43.08611111,-72.92555556,VT,2415
28,TRAVELER MTN (THE TRAVELER),3551,46.07277778,-68.845,ME,2331
29,SNOW MTN,3960,45.29138889,-70.70972222,ME,2330
30,MT SHAW,2990,43.74394,-71.274112,NH,2320
31,BLACK MTN,2650,43.6066,-73.5312,NY,2300
32,MT ASCUTNEY,3140,43.44361111,-72.455,VT,2289
33,KIBBY MTN,3654,45.41861111,-70.54472222,ME,2264
34,LYON MTN (NE PK),3830,44.70305556,-73.86472222,NY,2247
35,SNOWY MTN,3901,43.7,-74.38694444,NY,2243
36,MT CARRIGAIN,4700,44.09361111,-71.4475,NH,2240
37,BALDPATE MTN (E PK),3790,44.60916667,-70.89277778,ME,2240
38,EAST MTN,3439,44.66472222,-71.77055556,VT,2229
39,GRASS MTN,3109,43.05277778,-73.22416667,VT,2199
40,BAKER MTN,3521,45.57111111,-69.39444444,ME,2191
41,SMARTS MTN,3238,43.82555556,-72.03916667,NH,2188
42,COLD HOLLOW MTNS,3337,44.7875,-72.68944444,VT,2165
43,HUNTER MTN,4050,42.1775,-74.23083333,NY,2160
44,MONADNOCK MTN,3159,42.86083333,-72.10888889,NH,2155
45,SIGNAL MTN,3370,44.20611111,-72.32555556,VT,2140
46,CAMELS HUMP,4090,44.31944444,-72.88666667,VT,2140
47,BIG SQUAW MTN,3194,45.48388889,-69.71194444,ME,2124
48,ALGONQUIN PK,5115,44.14361111,-73.98694444,NY,2113
49,MT KEARSARGE,2937,43.383245,-71.857142,NH,2100
50,BLACK DOME,3990,42.27,-74.12333333,NY,2080
51,DOUBLETOP MTN,3489,45.93583333,-69.06166667,ME,2079
52,ELEPHANT MTN,3772,44.76805556,-70.78222222,ME,2062
53,MT OSCEOLA,4340,44.00166667,-71.53638889,NH,2040
